Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Los Angeles Lakers*,63,240.8,39.0,87.7,.444,11.3,33.0,.342,27.7,54.8,.506,17.7,22.8,.774,9.8,32.5,42.3,23.2,8.2,3.7,15.7,21.4,106.9
2,Toronto Raptors*,64,241.6,37.9,88.5,.429,13.0,38.5,.337,25.0,50.0,.499,17.7,23.0,.768,11.2,35.1,46.3,25.6,7.0,5.3,16.8,20.0,106.5
3,Boston Celtics*,64,242.0,38.3,86.8,.442,11.8,34.5,.342,26.5,52.3,.507,18.4,24.2,.761,10.2,34.0,44.3,22.2,7.0,5.6,15.3,20.6,106.8
4,Utah Jazz,64,240.4,40.3,89.3,.452,11.1,31.6,.351,29.3,57.7,.507,16.1,20.9,.769,9.6,33.0,42.6,21.2,7.8,4.6,12.0,20.6,107.9
5,Oklahoma City Thunder,64,241.6,41.1,90.0,.456,11.4,33.2,.344,29.6,56.8,.522,14.8,18.6,.795,10.4,34.0,44.4,23.1,6.7,4.1,14.0,22.8,108.3
6,Orlando Magic,65,240.4,40.1,86.6,.463,12.4,33.4,.370,27.7,53.2,.522,14.8,19.1,.772,9.1,36.0,45.1,24.5,7.0,4.8,14.8,19.2,107.3
7,Milwaukee Bucks*,65,240.8,38.7,93.8,.413,13.7,38.6,.356,25.0,55.2,.453,16.2,20.6,.784,9.4,36.3,45.7,23.8,7.4,4.6,14.3,21.3,107.4
8,Philadelphia 76ers,65,241.2,39.6,85.6,.462,10.2,28.9,.354,29.3,56.7,.518,18.0,24.3,.742,8.6,33.3,41.9,22.7,7.0,3.9,14.0,20.3,107.4
9,Indiana Pacers,65,241.5,39.5,88.1,.448,11.4,33.2,.345,28.0,54.9,.510,17.0,21.6,.789,10.1,34.6,44.7,23.2,6.8,4.5,14.4,18.6,107.4
10,Denver Nuggets,65,242.3,39.6,86.2,.459,11.6,33.6,.346,27.9,52.7,.531,16.7,22.1,.756,10.0,32.8,42.8,25.0,7.1,4.5,14.3,20.0,107.4
11,Los Angeles Clippers,64,241.2,39.4,90.3,.436,12.0,35.2,.341,27.4,55.0,.498,18.9,24.8,.762,10.9,34.6,45.5,23.6,7.9,4.9,14.2,22.8,109.7
12,Miami Heat,65,243.5,38.9,87.0,.447,13.1,38.0,.346,25.7,49.0,.525,18.1,23.3,.776,9.2,33.0,42.2,24.7,7.5,4.2,13.7,21.5,108.9
13,Sacramento Kings,64,242.3,39.9,85.3,.468,12.3,34.6,.355,27.6,50.7,.545,18.9,23.8,.793,9.0,34.5,43.5,24.5,7.8,4.3,15.1,19.3,110.9
14,Charlotte Hornets,65,242.3,41.7,87.5,.476,12.4,35.1,.352,29.3,52.5,.558,14.0,18.4,.758,10.9,35.0,46.0,26.6,8.0,5.0,14.4,20.6,109.6
15,Brooklyn Nets,64,243.1,41.2,93.3,.442,12.1,34.6,.350,29.1,58.6,.496,16.9,22.1,.763,10.8,35.2,46.0,22.4,7.8,5.3,12.6,20.9,111.4
16,Chicago Bulls,65,241.2,39.5,82.5,.479,11.2,31.6,.353,28.3,50.9,.557,19.7,26.0,.759,10.2,35.4,45.5,25.4,8.2,5.9,18.3,19.2,109.9
17,San Antonio Spurs,63,242.8,42.2,89.9,.469,13.1,34.9,.376,29.0,55.0,.528,17.4,22.7,.770,9.4,36.3,45.7,25.7,6.7,4.4,13.0,19.7,114.9
18,Detroit Pistons,66,241.9,41.9,87.3,.480,10.7,29.6,.361,31.3,57.8,.541,16.2,20.9,.777,10.1,33.4,43.5,24.6,8.2,5.6,14.0,19.8,110.8
19,Houston Rockets,64,241.2,42.2,91.5,.461,12.3,35.2,.348,29.9,56.3,.532,17.8,23.3,.761,11.1,35.9,47.0,25.3,7.9,4.9,15.8,20.8,114.4
20,Memphis Grizzlies,65,240.4,40.8,90.7,.450,12.8,35.2,.363,28.0,55.5,.505,19.3,24.5,.786,10.5,34.5,45.0,24.8,7.9,5.3,14.6,19.7,113.7
21,Dallas Mavericks,67,241.5,41.4,91.2,.454,11.8,34.3,.345,29.6,56.9,.520,15.6,20.7,.757,10.6,34.7,45.3,23.8,7.1,4.0,12.2,20.8,110.3
22,Phoenix Suns,65,241.2,41.4,87.2,.475,11.8,32.2,.368,29.6,55.0,.537,19.3,24.7,.781,9.2,34.4,43.6,23.8,8.1,5.6,16.0,22.8,113.9
23,New York Knicks,66,241.9,39.9,86.0,.463,13.3,34.9,.381,26.6,51.1,.520,19.2,25.7,.749,9.6,34.6,44.2,24.3,7.2,5.0,13.7,19.8,112.3
24,Cleveland Cavaliers,65,241.9,43.9,89.4,.491,12.4,33.0,.375,31.5,56.4,.558,14.7,19.2,.767,9.7,33.1,42.9,26.1,9.4,6.3,13.0,19.6,114.8
25,Golden State Warriors,65,241.9,42.2,88.6,.476,13.5,34.8,.389,28.7,53.8,.533,17.1,21.9,.783,10.2,36.3,46.5,26.1,8.2,4.9,15.6,20.1,115.0
26,New Orleans Pelicans,64,242.3,42.9,92.2,.465,12.1,33.9,.355,30.9,58.3,.529,19.1,24.4,.782,10.0,35.1,45.1,24.6,8.6,4.8,14.5,20.6,117.0
27,Minnesota Timberwolves,64,243.1,43.1,90.4,.477,11.6,31.9,.363,31.6,58.5,.539,19.7,25.2,.783,10.1,37.2,47.3,24.4,7.8,5.5,15.5,21.6,117.5
28,Portland Trail Blazers,66,240.8,41.6,92.1,.451,13.3,35.2,.377,28.3,56.9,.497,18.8,24.3,.773,11.8,35.7,47.5,24.7,6.8,5.0,12.7,19.7,115.2
29,Washington Wizards,64,241.2,43.4,88.6,.490,12.5,33.1,.378,30.9,55.5,.557,20.3,26.3,.772,10.6,35.7,46.3,25.3,7.5,5.0,16.3,22.4,119.7
30,Atlanta Hawks,67,243.0,43.3,90.7,.478,11.9,32.7,.363,31.4,58.0,.542,21.2,27.4,.772,11.2,35.9,47.0,25.0,9.0,6.4,15.0,21.0,119.7
,League Average,65,241.7,40.8,88.8,.460,12.1,33.9,.357,28.7,54.9,.523,17.7,22.9,.771,10.1,34.7,44.9,24.3,7.7,4.9,14.5,20.6,111.4